creation_id,compound_name,printed_name,mg,conc,vol,len_before,len_after
PBVita-Lab-206,BPC-157,BPC-157,10mg,1 mg/ml,10ml,4089,4805
PBVita-Lab-001,BPC-157,BPC-157,10mg,1 mg/ml,10ml,6040,6813
PBVita-Lab-397,TB-500,TB-500,10mg,1 mg/ml,10ml,5815,6587
PBVita-Lab-213,SS-31,SS-31,10mg,1 mg/ml,10ml,4073,4791
PBVita-Lab-066,AOD-9604,AOD-9604,10mg,1 mg/ml,10ml,5900,6674
PBVita-Lab-486,GHK-Cu,GHK-Cu,50mg,5 mg/ml,10ml,6062,6834
PBVita-Lab-041,MOTS-C,MOTS-C,20mg,2 mg/ml,10ml,5967,6739
PBVita-Lab-101,NAD+,NAD+,1000mg,100 mg/ml,10ml,5751,6485
PBVita-Lab-126,Sermorelin,Sermorelin,20mg,2 mg/ml,10ml,4120,4833
PBVita-Lab-181,Selank,Selank,10mg,1 mg/ml,10ml,5923,6695
PBVita-Lab-232,TA-1,TA-1,10mg,1 mg/ml,10ml,5790,6560
PBVita-Lab-231,Tesamorelin,Tesamorelin,30mg,3 mg/ml,10ml,5860,6637
PBVita-Lab-002,Cagrilintide,Cagrilintide,25mg,5 mg/ml,5ml,5839,6615
PBVita-Lab-398,CJC/Ipamorelin,CJC/Ipamorelin,10mg/10mg,1mg/1mg/ml,10ml,6040,6836
PBVita-Lab-133,GLOW,GLOW,10/10/50mg,1mg/1mg/5mg/ml,10ml,5781,6577
PBVita-Lab-067,KLOW,KLOW,10/10/10/50mg,1mg/1mg/1mg/10mg/ml,10ml,4052,4813
PBVita-Lab-487,Wolverine,Wolverine,10mg/10mg,1mg/1mg/ml,10ml,5972,6763
PBVita-Lab-042,BPC-157,BPC-157,10mg,1 mg/ml,10ml,4112,4828
PBVita-Lab-102,BPC-157,BPC-157,10mg,1 mg/ml,10ml,5859,6632
PBVita-Lab-130,TB-500,TB-500,10mg,1 mg/ml,10ml,5851,6623
PBVita-Lab-183,SS-31,SS-31,10mg,1 mg/ml,10ml,5938,6709
PBVita-Lab-234,AOD-9604,AOD-9604,10mg,1 mg/ml,10ml,5896,6670
PBVita-Lab-182,GHK-Cu,GHK-Cu,50mg,5 mg/ml,10ml,5798,6570
PBVita-Lab-003,MOTS-C,MOTS-C,20mg,2 mg/ml,10ml,5618,6344
PBVita-Lab-399,NAD+,NAD+,1000mg,100 mg/ml,10ml,5909,6687
PBVita-Lab-189,Sermorelin,Sermorelin,20mg,2 mg/ml,10ml,5817,6593
PBVita-Lab-068,Selank,Selank,10mg,1 mg/ml,10ml,5890,6662
PBVita-Lab-488,TA-1,TA-1,10mg,1 mg/ml,10ml,5778,6548
PBVita-Lab-043,Tesamorelin,Tesamorelin,30mg,3 mg/ml,10ml,5876,6653
PBVita-Lab-103,Cagrilintide,Cagrilintide,25mg,5 mg/ml,5ml,5882,6658
PBVita-Lab-131,CJC/Ipamorelin,CJC/Ipamorelin,10mg/10mg,1mg/1mg/ml,10ml,5845,6641
PBVita-Lab-184,GLOW,GLOW,10/10/50mg,1mg/1mg/5mg/ml,10ml,5735,6487
PBVita-Lab-236,KLOW,KLOW,10/10/10/50mg,1mg/1mg/1mg/10mg/ml,10ml,4096,4857
PBVita-Lab-207,Wolverine,Wolverine,10mg/10mg,1mg/1mg/ml,10ml,5905,6696
PBVita-Lab-004,BPC-157,BPC-157,10mg,1 mg/ml,10ml,5779,6552
PBVita-Lab-400,BPC-157,BPC-157,10mg,1 mg/ml,10ml,5867,6640
PBVita-Lab-214,TB-500,TB-500,10mg,1 mg/ml,10ml,5896,6668
PBVita-Lab-069,SS-31,SS-31,10mg,1 mg/ml,10ml,5830,6601
PBVita-Lab-490,AOD-9604,AOD-9604,10mg,1 mg/ml,10ml,5806,6580
PBVita-Lab-044,GHK-Cu,GHK-Cu,50mg,5 mg/ml,10ml,5741,6467
PBVita-Lab-104,MOTS-C,MOTS-C,20mg,2 mg/ml,10ml,5956,6728
PBVita-Lab-132,NAD+,NAD+,1000mg,100 mg/ml,10ml,5883,6661
PBVita-Lab-186,Sermorelin,Sermorelin,20mg,2 mg/ml,10ml,5842,6618
PBVita-Lab-237,Selank,Selank,10mg,1 mg/ml,10ml,5932,6704
PBVita-Lab-127,TA-1,TA-1,10mg,1 mg/ml,10ml,5900,6670
PBVita-Lab-005,Tesamorelin,Tesamorelin,30mg,3 mg/ml,10ml,5935,6712
PBVita-Lab-401,Cagrilintide,Cagrilintide,25mg,5 mg/ml,5ml,5833,6609
PBVita-Lab-012,CJC/Ipamorelin,CJC/Ipamorelin,10mg/10mg,1mg/1mg/ml,10ml,5667,6409
PBVita-Lab-070,GLOW,GLOW,10/10/50mg,1mg/1mg/5mg/ml,10ml,5839,6635
PBVita-Lab-491,KLOW,KLOW,10/10/10/50mg,1mg/1mg/1mg/10mg/ml,10ml,5669,6481
PBVita-Lab-045,Wolverine,Wolverine,10mg/10mg,1mg/1mg/ml,10ml,5764,6555
PBVita-Lab-105,BPC-157,BPC-157,10mg,1 mg/ml,10ml,5822,6595
PBVita-Lab-134,BPC-157,BPC-157,10mg,1 mg/ml,10ml,5890,6663
PBVita-Lab-191,TB-500,TB-500,10mg,1 mg/ml,10ml,5941,6713
