Type,ID,SKU,Name,Images
simple,842,MOTS_C_40MG_PEN,MOTS-C 40mg Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/all-product-white-backgrounds/mots-c-40mg-pen.jpg
simple,841,GLUTATHIONE_600MG_PEN,Glutathione 600mg Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/all-product-white-backgrounds/glutathione-600mg-pen.jpg
simple,840,MELANOTAN_II_10MG_PEN,Melanotan II 10mg Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/all-product-white-backgrounds/melanotan-ii-10mg-pen.jpg
simple,839,DIHEXA_10MG_PEN,Dihexa 10mg Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/all-product-white-backgrounds/dihexa-10mg-pen.jpg
simple,838,KISSPEPTIN_10MG_PEN,Kisspeptin 10mg Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/all-product-white-backgrounds/kisspeptin-10mg-pen.jpg
simple,837,IGF_LR3_1MG_PEN,IGF-LR3 1mg Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/all-product-white-backgrounds/igf-lr3-1mg-pen.jpg
simple,836,IPAMORELIN_30MG_PEN,Ipamorelin 30mg Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/all-product-white-backgrounds/ipamorelin-30mg-pen.jpg
simple,835,CJC_1295_10MG_PEN,CJC-1295 10mg Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/all-product-white-backgrounds/cjc-1295-10mg-pen.jpg
simple,834,EPITHALON_50MG_PEN,Epithalon 50mg Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/all-product-white-backgrounds/epithalon-50mg-pen.jpg
simple,833,NAD_1600MG_PEN,NAD+ 1600mg Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/all-product-white-backgrounds/nad-1600mg-pen.jpg
simple,832,NAD_1000MG_PEN,NAD+ 1000mg Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/all-product-white-backgrounds/nad-1000mg-pen.jpg
simple,831,TB_500_10MG_PEN,TB-500 10mg Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/all-product-white-backgrounds/tb-500-10mg-pen.jpg
simple,830,BPC_157_10MG_PEN,BPC-157 10mg Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/all-product-white-backgrounds/bpc-157-10mg-pen.jpg
simple,829,CAGRILINTIDE_10MG_PEN,Cagrilintide 10mg Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/all-product-white-backgrounds/cagrilintide-10mg-pen.jpg
simple,828,RETATRUTIDE_48MG_PEN,Retatrutide 48mg Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/all-product-white-backgrounds/retatrutide-48mg-pen.jpg
simple,827,TESAMORELIN_IPAMORELIN_VIAL,Tesamorelin / Ipamorelin 12mg/3mg Vial,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/all-product-white-backgrounds/tesamorelin-ipamorelin-12mg-3mg-vial.jpg
simple,826,IPAMORELIN_10MG_VIAL,Ipamorelin 10mg Vial,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/all-product-white-backgrounds/ipamorelin-10mg-vial.jpg
simple,825,KPV_10MG_VIAL,KPV 10mg Vial,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/all-product-white-backgrounds/kpv-10mg-vial.jpg
simple,614,,BPC-157 20mg Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/all-product-white-backgrounds/BPC-157_pen_whitebg.jpg
simple,303,PBV-WOLVERINE-VIAL,Wolverine Vial,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/all-product-white-backgrounds/Wolverine_vial_whitebg-1.jpg
simple,301,PBV-TB-500-VIAL,TB-500 Vial,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/all-product-white-backgrounds/TB-500_vial_whitebg-1.jpg
