Type,SKU,Name,Images
simple,PBV-SEMAGLUTIDE-1-5MG-PEN,Semaglutide 1.5mg Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/woocommerce-checkout-updates-3232/woocommerce-migration/data/metabolic-pens-blue/semaglutide-1-5mg-pen.jpg
simple,PBV-SEMAGLUTIDE-3-5MG-PEN,Semaglutide 3.5mg Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/woocommerce-checkout-updates-3232/woocommerce-migration/data/metabolic-pens-blue/semaglutide-3-5mg-pen.jpg
simple,PBV-SEMAGLUTIDE-5-5MG-PEN,Semaglutide 5.5mg Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/woocommerce-checkout-updates-3232/woocommerce-migration/data/metabolic-pens-blue/semaglutide-5-5mg-pen.jpg
simple,PBV-SEMAGLUTIDE-7-5MG-PEN,Semaglutide 7.5mg Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/woocommerce-checkout-updates-3232/woocommerce-migration/data/metabolic-pens-blue/semaglutide-7-5mg-pen.jpg
simple,PBV-SEMAGLUTIDE-10MG-PEN,Semaglutide 10mg Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/woocommerce-checkout-updates-3232/woocommerce-migration/data/metabolic-pens-blue/semaglutide-10mg-pen.jpg
simple,PBV-SEMAGLUTIDE-15MG-PEN,Semaglutide 15mg Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/woocommerce-checkout-updates-3232/woocommerce-migration/data/metabolic-pens-blue/semaglutide-15mg-pen.jpg
simple,PBV-TIRZEPATIDE-10MG-PEN,Tirzepatide 10mg Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/woocommerce-checkout-updates-3232/woocommerce-migration/data/metabolic-pens-blue/tirzepatide-10mg-pen.jpg
simple,PBV-TIRZEPATIDE-20MG-PEN,Tirzepatide 20mg Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/woocommerce-checkout-updates-3232/woocommerce-migration/data/metabolic-pens-blue/tirzepatide-20mg-pen.jpg
simple,PBV-TIRZEPATIDE-30MG-PEN,Tirzepatide 30mg Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/woocommerce-checkout-updates-3232/woocommerce-migration/data/metabolic-pens-blue/tirzepatide-30mg-pen.jpg
simple,PBV-TIRZEPATIDE-40MG-PEN,Tirzepatide 40mg Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/woocommerce-checkout-updates-3232/woocommerce-migration/data/metabolic-pens-blue/tirzepatide-40mg-pen.jpg
simple,PBV-TIRZEPATIDE-50MG-PEN,Tirzepatide 50mg Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/woocommerce-checkout-updates-3232/woocommerce-migration/data/metabolic-pens-blue/tirzepatide-50mg-pen.jpg
simple,PBV-TIRZEPATIDE-40MG-PEN-COPY,Tirzepatide 60mg Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/woocommerce-checkout-updates-3232/woocommerce-migration/data/metabolic-pens-blue/tirzepatide-60mg-pen.jpg
simple,PBV-RETATRUTRIDE-8MG-PEN,Retatrutride 8mg Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/woocommerce-checkout-updates-3232/woocommerce-migration/data/metabolic-pens-blue/retatrutride-8mg-pen.jpg
simple,PBV-RETATRUTRIDE-16MG-PEN,Retatrutride 16mg Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/woocommerce-checkout-updates-3232/woocommerce-migration/data/metabolic-pens-blue/retatrutride-16mg-pen.jpg
simple,PBV-RETATRUTRIDE-24MG-PEN,Retatrutride 24mg Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/woocommerce-checkout-updates-3232/woocommerce-migration/data/metabolic-pens-blue/retatrutride-24mg-pen.jpg
simple,PBV-RETATRUTRIDE-32MG-PEN,Retatrutride 32mg Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/woocommerce-checkout-updates-3232/woocommerce-migration/data/metabolic-pens-blue/retatrutride-32mg-pen.jpg
simple,PBV-RETATRUTRIDE-40MG-PEN,Retatrutride 40mg Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/woocommerce-checkout-updates-3232/woocommerce-migration/data/metabolic-pens-blue/retatrutride-40mg-pen.jpg
