ID,SKU,Name,Images
108,PBV-TA-1,TA-1 Vial,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/standardized-product-images/108-ta-1-vial.png
111,PBV-AOD-9604,AOD-9604 Vial,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/standardized-product-images/111-aod-9604-vial.png
114,PBV-MELANOTAN-II,Melanotan II Vial,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/standardized-product-images/114-melanotan-ii-vial.png
117,PBV-RETATRUTIDE,Retatrutide 60mg,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/standardized-product-images/117-retatrutide-60mg.png
119,PBV-TIRZEPATIDE,Tirzepatide 100mg,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/standardized-product-images/119-tirzepatide-100mg.png
121,PBV-SEMAGLUTIDE,Semaglutide 25mg,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/standardized-product-images/121-semaglutide-25mg.png
123,PBV-KLOW-PEN,KLOW Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/standardized-product-images/123-klow-pen.png
125,PBV-MOTS-C,MOTS-C 20mg Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/standardized-product-images/125-mots-c-20mg-pen.png
129,PBV-PT-141-PEN,PT-141 Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/standardized-product-images/129-pt-141-pen.png
131,PBV-SEMAX-PEN,Semax Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/standardized-product-images/131-semax-pen.png
133,PBV-SELANK-PEN,Selank Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/standardized-product-images/133-selank-pen.png
135,PBV-SERMORELIN-PEN,Sermorelin Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/standardized-product-images/135-sermorelin-pen.png
137,PBV-TA-2,TA-1 Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/standardized-product-images/137-ta-1-pen.png
139,PBV-TESAMORELIN-10MG-PEN,Tesamorelin 10mg Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/standardized-product-images/139-tesamorelin-10mg-pen.png
141,PBV-TESAMORELIN-30MG-PEN,Tesamorelin 30mg Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/standardized-product-images/141-tesamorelin-30mg-pen.png
143,PBV-TESAMORELIN-IPAMORELIN-PEN,Tesamorelin/Ipamorelin Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/standardized-product-images/143-tesamorelin-ipamorelin-pen.png
145,PBV-WOLVERINE-PEN,Wolverine Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/standardized-product-images/145-wolverine-pen.png
147,PBV-CJC-IPAMORELIN-1,CJC/Ipamorelin Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/standardized-product-images/147-cjc-ipamorelin-pen.png
149,PBV-DSIP-PEN,DSIP Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/standardized-product-images/149-dsip-pen.png
151,PBV-GHK-CU-PEN,GHK-Cu Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/standardized-product-images/151-ghk-cu-pen.png
153,PBV-5-AMINO-1MQ-PEN,5-Amino-1MQ Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/standardized-product-images/153-5-amino-1mq-pen.png
155,PBV-GLOW-PEN,GLOW Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/standardized-product-images/155-glow-pen.png
157,PBV-SS-31-PEN,SS-31 Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/standardized-product-images/157-ss-31-pen.png
159,PBV-KPV,KPV Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/standardized-product-images/159-kpv-pen.png
161,PBV-SEMAGLUTIDE-50MG,Semaglutide 50mg,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/standardized-product-images/161-semaglutide-50mg.png
163,PBV-RETATRUTIDE-100MG,Retatrutide 100mg,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/standardized-product-images/163-retatrutide-100mg.png
165,PBV-RETATRUTIDE-200MG,Retatrutide 200mg,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/standardized-product-images/165-retatrutide-200mg.png
167,PBV-TIRZEPATIDE-200MG,Tirzepatide 200mg,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/standardized-product-images/167-tirzepatide-200mg.png
169,PBV-SEMAGLUTIDE-1-5MG-PEN,Semaglutide 1.5mg Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/standardized-product-images/169-semaglutide-1-5mg-pen.png
171,PBV-SEMAGLUTIDE-3-5MG-PEN,Semaglutide 3.5mg Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/standardized-product-images/171-semaglutide-3-5mg-pen.png
173,PBV-SEMAGLUTIDE-5-5MG-PEN,Semaglutide 5.5mg Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/standardized-product-images/173-semaglutide-5-5mg-pen.png
175,PBV-SEMAGLUTIDE-7-5MG-PEN,Semaglutide 7.5mg Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/standardized-product-images/175-semaglutide-7-5mg-pen.png
177,PBV-SEMAGLUTIDE-10MG-PEN,Semaglutide 10mg Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/standardized-product-images/177-semaglutide-10mg-pen.png
179,PBV-SEMAGLUTIDE-15MG-PEN,Semaglutide 15mg Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/standardized-product-images/179-semaglutide-15mg-pen.png
181,PBV-TIRZEPATIDE-10MG-PEN,Tirzepatide 10mg Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/standardized-product-images/181-tirzepatide-10mg-pen.png
183,PBV-TIRZEPATIDE-20MG-PEN,Tirzepatide 20mg Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/standardized-product-images/183-tirzepatide-20mg-pen.png
185,PBV-TIRZEPATIDE-30MG-PEN,Tirzepatide 30mg Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/standardized-product-images/185-tirzepatide-30mg-pen.png
187,PBV-TIRZEPATIDE-40MG-PEN,Tirzepatide 40mg Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/standardized-product-images/187-tirzepatide-40mg-pen.png
189,PBV-NAD-1,NAD+ 1000mg Vial,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/standardized-product-images/189-nad-1000mg-vial.png
191,PBV-TIRZEPATIDE-60MG-PEN,Tirzepatide 60mg Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/standardized-product-images/191-tirzepatide-60mg-pen.png
193,PBV-BPC-157-20MG,BPC-157 20mg Vial,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/standardized-product-images/193-bpc-157-20mg-vial.png
195,PBV-TIRZEPATIDE-50MG-PEN,Tirzepatide 50mg Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/standardized-product-images/195-tirzepatide-50mg-pen.png
197,PBV-RETATRUTIDE-8MG-PEN,Retatrutide 8mg Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/standardized-product-images/197-retatrutide-8mg-pen.png
199,PBV-RETATRUTIDE-16MG-PEN,Retatrutide 16mg Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/standardized-product-images/199-retatrutide-16mg-pen.png
201,PBV-RETATRUTIDE-24MG-PEN,Retatrutide 24mg Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/standardized-product-images/201-retatrutide-24mg-pen.png
203,PBV-RETATRUTIDE-32MG-PEN,Retatrutide 32mg Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/standardized-product-images/203-retatrutide-32mg-pen.png
204,PBV-RETATRUTIDE-40MG-PEN,Retatrutide 40mg Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/standardized-product-images/204-retatrutide-40mg-pen.png
206,PBV-NAD-500MG,NAD+ 500mg Vial,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/standardized-product-images/206-nad-500mg-vial.png
208,PBV-NAD-PEN-500MG,NAD+ Pen 500mg,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/standardized-product-images/208-nad-pen-500mg.png
288,PBV-BPC-157-10MG,BPC-157 10mg Vial,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/standardized-product-images/288-bpc-157-10mg-vial.png
289,PBV-CAGRILINTIDE,Cagrilintide Vial,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/standardized-product-images/289-cagrilintide-vial.png
290,PBV-CJC-VIAL,CJC 10mg Vial,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/standardized-product-images/290-cjc-10mg-vial.png
291,PBV-CJC-IPAMORELIN-VIAL,CJC/Ipamorelin Vial,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/standardized-product-images/291-cjc-ipamorelin-vial.png
292,PBV-GHK-CU-VIAL,GHK-Cu Vial,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/standardized-product-images/292-ghk-cu-vial.png
293,PBV-GLOW-VIAL,GLOW Vial,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/standardized-product-images/293-glow-vial.png
294,PBV-KLOW-VIAL,KLOW Vial,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/standardized-product-images/294-klow-vial.png
295,PBV-MOTS-C-VIAL,MOTS-C 25mg Vial,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/standardized-product-images/295-mots-c-25mg-vial.png
296,PBV-PT-141-VIAL,PT-141 Vial,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/standardized-product-images/296-pt-141-vial.png
297,PBV-SELANK-VIAL,Selank Vial,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/standardized-product-images/297-selank-vial.png
298,PBV-SEMAX-VIAL,Semax 10mg Vial,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/standardized-product-images/298-semax-10mg-vial.png
