Type,SKU,Name,Images
simple,CAGRILINTIDE_10MG_PEN,Cagrilintide 10mg Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/weight-loss-pen-backgrounds-3232/woocommerce-migration/data/weight-loss-pen-backgrounds/cagrilintide-10mg-pen.jpg
simple,PBV-RETATRUTIDE-16MG-PEN,Retatrutide 16mg Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/weight-loss-pen-backgrounds-3232/woocommerce-migration/data/weight-loss-pen-backgrounds/reta_16mg_pen_whitebg.jpg
simple,PBV-RETATRUTIDE-24MG-PEN,Retatrutide 24mg Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/weight-loss-pen-backgrounds-3232/woocommerce-migration/data/weight-loss-pen-backgrounds/reta_24mg_pen_whitebg.jpg
simple,PBV-RETATRUTIDE-32MG-PEN,Retatrutide 32mg Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/weight-loss-pen-backgrounds-3232/woocommerce-migration/data/weight-loss-pen-backgrounds/reta_32mg_pen_whitebg.jpg
simple,PBV-RETATRUTIDE-40MG-PEN,Retatrutide 40mg Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/weight-loss-pen-backgrounds-3232/woocommerce-migration/data/weight-loss-pen-backgrounds/reta_40mg_whitebg.jpg
simple,RETATRUTIDE_48MG_PEN,Retatrutide 48mg Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/weight-loss-pen-backgrounds-3232/woocommerce-migration/data/weight-loss-pen-backgrounds/retatrutide-48mg-pen.jpg
simple,PBV-RETATRUTIDE-8MG-PEN,Retatrutide 8mg Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/weight-loss-pen-backgrounds-3232/woocommerce-migration/data/weight-loss-pen-backgrounds/Reta_8mg_pen_whitebg.jpg
simple,PBV-SEMAGLUTIDE-1-5MG-PEN,Semaglutide 1.5mg Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/weight-loss-pen-backgrounds-3232/woocommerce-migration/data/weight-loss-pen-backgrounds/Sema_1.5mg_pen_whitebg.jpg
simple,PBV-SEMAGLUTIDE-10MG-PEN,Semaglutide 10mg Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/weight-loss-pen-backgrounds-3232/woocommerce-migration/data/weight-loss-pen-backgrounds/sema_10mg_pen_whitebg.jpg
simple,PBV-SEMAGLUTIDE-15MG-PEN,Semaglutide 15mg Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/weight-loss-pen-backgrounds-3232/woocommerce-migration/data/weight-loss-pen-backgrounds/sema_15mg_pen_whitebg.jpg
simple,PBV-SEMAGLUTIDE-3-5MG-PEN,Semaglutide 3.5mg Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/weight-loss-pen-backgrounds-3232/woocommerce-migration/data/weight-loss-pen-backgrounds/Sema_3.5mg_pen_whitebg.jpg
simple,PBV-SEMAGLUTIDE-5-5MG-PEN,Semaglutide 5.5mg Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/weight-loss-pen-backgrounds-3232/woocommerce-migration/data/weight-loss-pen-backgrounds/Sema_5.5mg_pen_whitebg.jpg
simple,PBV-SEMAGLUTIDE-7-5MG-PEN,Semaglutide 7.5mg Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/weight-loss-pen-backgrounds-3232/woocommerce-migration/data/weight-loss-pen-backgrounds/sema_7.5mg_whitebg.jpg
simple,PBV-TIRZEPATIDE-10MG-PEN,Tirzepatide 10mg Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/weight-loss-pen-backgrounds-3232/woocommerce-migration/data/weight-loss-pen-backgrounds/Tirz_10mg_pen_whitebg.jpg
simple,PBV-TIRZEPATIDE-20MG-PEN,Tirzepatide 20mg Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/weight-loss-pen-backgrounds-3232/woocommerce-migration/data/weight-loss-pen-backgrounds/Tirz_20mg_pen_whitebg.jpg
simple,PBV-TIRZEPATIDE-30MG-PEN,Tirzepatide 30mg Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/weight-loss-pen-backgrounds-3232/woocommerce-migration/data/weight-loss-pen-backgrounds/Tirz_30mg_pen_whitebg.jpg
simple,PBV-TIRZEPATIDE-40MG-PEN,Tirzepatide 40mg Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/weight-loss-pen-backgrounds-3232/woocommerce-migration/data/weight-loss-pen-backgrounds/Tirz_40mg_pen_whitebg.jpg
simple,PBV-TIRZEPATIDE-50MG-PEN,Tirzepatide 50mg Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/weight-loss-pen-backgrounds-3232/woocommerce-migration/data/weight-loss-pen-backgrounds/tirz_50mg_pen_whitebg.jpg
simple,PBV-TIRZEPATIDE-60MG-PEN,Tirzepatide 60mg Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/weight-loss-pen-backgrounds-3232/woocommerce-migration/data/weight-loss-pen-backgrounds/tirz_60mg_pen_whitebg.jpg
